timestamp,rainfall_mm
12/04/2015 08:00,0.1211111
12/04/2015 08:30,0.29222223
12/04/2015 09:00,0.20388888
12/04/2015 09:30,0.1561111
12/04/2015 10:00,0.071666665
12/04/2015 10:30,0.09111111
12/04/2015 11:00,0.25277776
12/04/2015 11:30,0.32666668
12/04/2015 12:00,0.33999997
12/04/2015 12:30,0.18888889
12/04/2015 13:00,0.003888889
12/04/2015 13:30,0.027222222
12/04/2015 14:00,0.04
12/04/2015 14:30,0.20888889
12/04/2015 15:00,0.06611112
12/04/2015 15:30,0.11333333
12/04/2015 16:00,0.0
12/04/2015 16:30,0.0
12/04/2015 17:00,0.0
12/04/2015 17:30,0.0
12/04/2015 18:00,0.0
12/04/2015 18:30,0.0
12/04/2015 19:00,0.023333333
12/04/2015 19:30,0.056666665
12/04/2015 20:00,0.015555556
12/04/2015 20:30,0.0
12/04/2015 21:00,0.0
12/04/2015 21:30,0.0
12/04/2015 22:00,0.0
12/04/2015 22:30,0.37
12/04/2015 23:00,0.67055553
12/04/2015 23:30,0.35277775
